locationRef,addressInMap,addressBuilding,addressStreet,addressCity,addressPostCode,addressStateProvince,addressCountry,lat,lng,descriptionOfActivities,ghgAssessmentInclusion,comment,subCode,tenantId
Rich Method,"64526 Melissa Meadows, Jasonton, Cook Islands",64526,Melissa Meadows,Jasonton,12527,Georgia,Cook Islands,70.6227825,33.494905,Behavior executive affect event either watch Mr.,included,Water staff.,pQ-7879,686e08165310467dcf1eeab1
Garden Thought,"9856 Nguyen Court, Madelineview, United States Virgin Islands",9856,Nguyen Court,Madelineview,82157,Indiana,United States Virgin Islands,85.4946945,-5.346619,Around unit keep born.,partially-included,No comments,CP-7656,686e08165310467dcf1eeab1
Heavy Matter,"156 Omar Inlet, Andreaport, Venezuela",156,Omar Inlet,Andreaport,70122,Missouri,Venezuela,89.032173,172.277049,Economy level north.,included,Parent religious practice.,Jy-4096,686e08165310467dcf1eeab1
Treatment Sell,"9313 Jennifer Drive, North Kristamouth, Togo",9313,Jennifer Drive,North Kristamouth,72351,Florida,Togo,22.965975,-26.814109,Protect certainly to if.,included,No comments,nN-1923,686e08165310467dcf1eeab1
Current Financial,"8073 Keith Mountain, Davidtown, Somalia",8073,Keith Mountain,Davidtown,18251,South Carolina,Somalia,23.1052345,68.854471,Provide involve animal hold pretty to both.,partially-included,Class growth skin.,ND-5034,686e08165310467dcf1eeab1
Indeed Region,"6005 Morales Bridge, Barrmouth, Solomon Islands",6005,Morales Bridge,Barrmouth,76083,Hawaii,Solomon Islands,-24.621854,-49.627145,Certain without shoulder table position miss when interesting place.,excluded,No comments,Yf-3639,686e08165310467dcf1eeab1
Never Ready,"24668 Banks Pass, Lake Robyn, Tunisia",24668,Banks Pass,Lake Robyn,85387,South Carolina,Tunisia,53.001784,-118.817019,Arm stuff article fight each.,excluded,No comments,xm-4600,686e08165310467dcf1eeab1
Available Win,"7355 Jesse Freeway, Cherylhaven, Montenegro",7355,Jesse Freeway,Cherylhaven,29237,South Dakota,Montenegro,-23.244883,91.78544,Production actually story son.,included,No comments,ps-2286,686e08165310467dcf1eeab1
Music Value,"161 Baker Avenue, Davisville, Micronesia",161,Baker Avenue,Davisville,77255,Virginia,Micronesia,33.5257985,-143.961704,Ago treatment write modern consumer.,excluded,No comments,AY-7460,686e08165310467dcf1eeab1
Production As,"8744 James Ferry, West Kimberlyville, Saint Lucia",8744,James Ferry,West Kimberlyville,88623,Maine,Saint Lucia,60.695227,-120.466111,Campaign thousand.,partially-included,No comments,Mg-4948,686e08165310467dcf1eeab1
That Small,"9933 Sheppard Gardens, New Nicholaston, Italy",9933,Sheppard Gardens,New Nicholaston,83650,Utah,Italy,-56.55954,-125.000074,Price choice bed various.,included,Within base color discussion.,ML-6525,686e08165310467dcf1eeab1
Read Table,"150 Sean Corners, East Josephstad, Mali",150,Sean Corners,East Josephstad,50891,Nebraska,Mali,32.792099,144.670437,Threat mind others.,partially-included,No comments,az-1204,686e08165310467dcf1eeab1
See President,"597 Ana Motorway, Nguyenton, Swaziland",597,Ana Motorway,Nguyenton,71625,Georgia,Swaziland,-86.5241385,41.464703,Entire bar foreign forget ability truth.,partially-included,Month physical then sea.,xd-8474,686e08165310467dcf1eeab1
Either Share,"555 Sharon Harbor, Hollyfort, Philippines",555,Sharon Harbor,Hollyfort,04486,Wisconsin,Philippines,72.556176,157.440387,Live security order today might very body event.,partially-included,No comments,AC-9560,686e08165310467dcf1eeab1
Adult Whose,"64692 Chad Fords, East Carriebury, North Macedonia",64692,Chad Fords,East Carriebury,90488,West Virginia,North Macedonia,-27.3186615,148.475149,That knowledge just small listen wonder.,included,No comments,WM-5170,686e08165310467dcf1eeab1
Firm Building,"820 Lauren Union, Lake Williammouth, Timor-Leste",820,Lauren Union,Lake Williammouth,40075,Oregon,Timor-Leste,-75.009746,-43.229416,Yard nearly director fly since stand could fight central.,partially-included,Song difference check help along itself.,hh-7290,686e08165310467dcf1eeab1
Station Beat,"3262 Michael Throughway, North Terry, Sudan",3262,Michael Throughway,North Terry,06146,Massachusetts,Sudan,-52.3093705,-48.148321,Simply religious ever include form.,included,No comments,gY-1699,686e08165310467dcf1eeab1
Economic History,"4853 Herman Locks, Nathanhaven, Cayman Islands",4853,Herman Locks,Nathanhaven,57491,Montana,Cayman Islands,-19.9345935,125.918762,Suggest cultural together send travel age.,included,Quite tax now it cultural.,LM-0595,686e08165310467dcf1eeab1
Phone Manager,"3654 Justin Views, Travischester, Ukraine",3654,Justin Views,Travischester,22338,Missouri,Ukraine,-65.49572,-168.619912,Sing official.,excluded,No comments,Cn-9101,686e08165310467dcf1eeab1
Ten Second,"226 Melanie Radial, North Kevinmouth, Tonga",226,Melanie Radial,North Kevinmouth,96419,Michigan,Tonga,-89.6150705,65.800991,Away eye good difference.,included,No comments,Is-0574,686e08165310467dcf1eeab1
Really Mind,"24432 James Estate, New Nicole, Ghana",24432,James Estate,New Nicole,15520,Arizona,Ghana,-62.1008895,39.193281,Design attack.,excluded,No comments,NK-6522,686e08165310467dcf1eeab1
Opportunity Wrong,"8521 Singleton Lodge, Rojasview, Guyana",8521,Singleton Lodge,Rojasview,03912,West Virginia,Guyana,-60.776667,74.01929,Speak protect fast lose professional.,included,No comments,fP-8372,686e08165310467dcf1eeab1
Fight Meeting,"233 Williams Ports, East Kaitlynstad, Iran",233,Williams Ports,East Kaitlynstad,01340,Texas,Iran,-23.6791605,71.652905,Pattern same.,partially-included,No comments,Fl-0321,686e08165310467dcf1eeab1
Authority Always,"61410 Smith Cove, West Yesenia, China",61410,Smith Cove,West Yesenia,51516,Georgia,China,67.714784,-131.566161,Analysis before home word gas crime particularly.,partially-included,Season certain vote involve sing field cultural.,Zw-9137,686e08165310467dcf1eeab1
Whom Democratic,"5269 Stephanie Shoal, Meganhaven, Thailand",5269,Stephanie Shoal,Meganhaven,70497,Colorado,Thailand,39.082439,35.706975,President hope turn relationship drive.,excluded,Imagine offer end young away.,kk-6875,686e08165310467dcf1eeab1
Lead Development,"298 Ashley Estates, Harryfurt, Korea",298,Ashley Estates,Harryfurt,22075,Pennsylvania,Korea,-75.8159,37.35099,Light movie music hard.,included,Else affect during employee.,jQ-7461,686e08165310467dcf1eeab1
Make Risk,"66445 Debra Courts, South Kristina, Oman",66445,Debra Courts,South Kristina,20876,Colorado,Oman,-69.424102,-89.196578,Young just law foot win fire.,partially-included,No comments,RF-7592,686e08165310467dcf1eeab1
Expect Arm,"04670 Beth Light, North Jesseburgh, Chile",04670,Beth Light,North Jesseburgh,16666,South Carolina,Chile,22.687413,64.236322,Girl leg whom believe item.,partially-included,Simple another real.,dh-9282,686e08165310467dcf1eeab1
Country Whatever,"05236 Thomas Drive, Jonesview, Venezuela",05236,Thomas Drive,Jonesview,18280,Virginia,Venezuela,-51.8514805,-120.390612,Military foot see east.,excluded,Him describe.,pr-1102,686e08165310467dcf1eeab1
Century Total,"363 Moore Road, East Bethmouth, Tokelau",363,Moore Road,East Bethmouth,24242,Arkansas,Tokelau,-18.628399,156.276301,Quickly he against feel family activity.,partially-included,No comments,SJ-7216,686e08165310467dcf1eeab1
Realize West,"479 Rush Hollow, Port Dawn, Bangladesh",479,Rush Hollow,Port Dawn,16981,Alabama,Bangladesh,-46.1719705,-2.629084,Other decade matter relate least.,included,No comments,hX-7911,686e08165310467dcf1eeab1
Food Blue,"72832 Collins Island, North Andrew, French Polynesia",72832,Collins Island,North Andrew,00718,Kentucky,French Polynesia,-14.9014775,124.614365,Per under seek.,included,No comments,bR-2948,686e08165310467dcf1eeab1
Price Plant,"6552 Melissa Pines, North Jacktown, Martinique",6552,Melissa Pines,North Jacktown,30637,Maine,Martinique,-73.471416,172.011221,Against wife.,included,No comments,gc-2337,686e08165310467dcf1eeab1
Color Available,"99395 Wright Street, South Veronicatown, Netherlands",99395,Wright Street,South Veronicatown,17809,California,Netherlands,-70.6220205,-3.367101,Day suggest describe film sit hotel ago.,included,No comments,pL-2732,686e08165310467dcf1eeab1
