name,addressBuilding,addressStreet,addressStreet2,addressCity,addressStateProvince,addressPostCode,addressCountry
Active Integrated Systems Limited,Mayden House,Long Bennington Business Park,Main Road,Long Bennington,,NG23 5DJ,United Kingdom
Amanda Levete Architects Limited,33 John Street,,,London,,WC1N 2AT,United Kingdom
Amdega Brands Ltd,6A Knights Park,Hussey Road,Battlefields Enterprise Park,Shrewsbury,Shropshire,SY1 3TE,United Kingdom
AMH Commercial Projects Ltd,Old Barn,Lady Farm,,Chelwood,Bristol,BS39 4NN,United Kingdom
AMufacture Ltd,6 Pioneer Park,Portfield Road,,Portsmouth,,PO3 5GF,United Kingdom
Andrew Strain Construction Ltd,Blackfaulds House,Drumhead Place,,Glasgow,,G32 8EY,United Kingdom
Andrews Sykes Group Plc,Unit 601,Axcess 10 Business Park,,Wednesbury,,WS10 8LQ,United Kingdom
Anglia Ruskin University Higher Education Corporation,East Road,,,Cambridge,,CB1 1PT,United Kingdom
Anglo American Oil Company Ltd,58 Holton Road,Holton Heath Trading Park,,Poole,Dorset,BH16 6LT,United Kingdom
Angloco Ltd,Station Road,,,Batley,West Yorkshire,WF17 5TA,United Kingdom
APC Overnight,"Blakeley Way, Kingswood Lakeside",Norton Canes,,Cannock,Staffordshire,WS11 8LD,United Kingdom
Apex Signalling Design & Consultancy Ltd,Quintessential Group,Suite 13,19-21 Gordon Street,Glasgow,,G1 3PL,United Kingdom
Apogee Property & Utility Consultants Ltd,"Suite 2, Ground floor",Blount House,"Hall Court, Hall Park Way",Telford,Shropshire,TF3 4NQ,United Kingdom
APPS (UK) LTD,Paisley Works,14 Windover Road,Huntingdon,Cambridgeshire,,PE29 7EB,United Kingdom
Apsolut UK Ltd,Sierra Quebec Bravo,Wyndham House,189 Marsh Wall,London,,E14 9SH,United Kingdom
Aquaflow Drainage Services Limited,Denton Farm,Denton,,Canterbury,,CT4 6NS,United Kingdom
"Aramark UK, Aramark Offshore Global and Aramark Defence Services Ltd",Ascent 4,2 Gladiator Way,Farnborough Aerospace Centre,Farnborough,,GU14 6XN,United Kingdom
Arcmaster Ltd,Unit C3 South Orbital Trade Park,Hedon Road,,Hull,,HU9 1NJ,United Kingdom
Arden Windows Limited,Arden House,Sparkbrook Street,,Coventry,,CV1 5ST,United Kingdom
Armorduct Systems Ltd,G2 Prime Point,Dandy Bank Road,The Pensnett Estate,Kingswinford,Staffordshire,DY6 7TD,United Kingdom
Armour Hart Group Ltd,"Laurels Court, Rock Road",Borough Green,Sevenoaks,Kent,,TN15 8RD,United Kingdom
Artemis Analytical Ltd T/A The Water Professor,Schuster Building,Brunswick Street,,Manchester,,M13 9PL,United Kingdom
AS Design & Engineering Limited,"Suite 14, Parkway 2",Parkway Business Centre,,Manchester,,M14 7HR,United Kingdom
AS Miles Consulting Limited,The Old Rectory,Main Street,Glenfield,Leicester,,LE3 8DG,United Kingdom
Ashton Fire Limited,Commerce House,Telford Rd,,Bicester,,OX26 4LD,United Kingdom
Aspire Housing Ltd,Kingsley,The Brampton,,Newcastle under Lyme,,ST5 0QW,United Kingdom
Assent....,Assent House,4 Navigation Court,Calder Park,Wakefield,West Yorkshire,WF2 7BJ,United Kingdom
Asset Protection Group...,"Suite 2, 720 Mandarin Court Centre Park",,,Warrington,,WA1 1GG,United Kingdom
Astra Group,The Works,Tame Street,,Stalybridge,United Kingdom,SK15 1ST,
Astute Healthcare Limited,Unit 1 Bilton Road,Cadwell Business Estate,,Hitchin,,SG4 0SB,United Kingdom
AT Jones & Son Ltd,9 The Gardens,Broadcut,,Fareham,Hampshire,PO16 8SS,United Kingdom
Atebol Cyfyngedig,Adeiladau'r Fagwyr,Llandre,,Aberystwyth,,SY24 5AQ,United Kingdom
Atlantic Pumps Ltd,Carrwood Road,,,Chesterfield,,S41 9QB,United Kingdom
Auto-Masters Limited,Unit 11 Graphite Way,Hadfield,,Glossop,Derbyshire,SK13 1QH,United Kingdom
Automatic Flare Systems Ltd,"Unit 8, Ensign Business Centre",Westwood Business Park,,Coventry,,CV4 8JA,United Kingdom
AVC One Ltd,Unit B Fourth Dimension,Fourth Avenue,,Letchworth Garden City,Hertfordshire,SG6 2TD,United Kingdom
Avid Services Ltd,"Unit 6A, 11-12 Baldock Industrial Estate",London road,Baldock,Herts,,SG7 6NG,United Kingdom
B A Rescue Limited,Unit 1 Staunton Court Business Park,Ledbury Road,,Staunton,Gloucester,GL19 3QS,United Kingdom
B Team Limited,Unit 3 Senate Place,Whitworth Road,,Stevenage,,SG1 4QS,United Kingdom
B5 Construction Ltd,145 Bargates,,,Leominster,,HR6 8QS,United Kingdom
Barwin Holdings Ltd Incorporating Barwin Property Services Limited,Unit 10 Upminster Trading Park,Warley Street,,Upminster,Essex,RM14 3PJ,United Kingdom
Bathgate Flooring Ltd,"Unit 6 E, F, G Thorn Business Park",Rotherwas,,Hereford,,HR2 6JT,United Kingdom
Baxter Kelly Ltd,2 Parker Court,Staffordshire Technology Park,Dyson Court,Stafford,,ST18 0WP,United Kingdom
BBS Brick & Stone Ltd,"BBS Head Office, Wharfe House",Wharfebank Mills,Ilkley Road,Otley,West Yorkshire,LS21 3JP,United Kingdom
BDL Fire Protection Limited,Unit 1 The Reprise Centre,Bens Court,Knowsley Business Park,Prescot,,L34 9HH,United Kingdom
Beacon Fire Protection Limited,"Unit 6b, Redhills Business Park",,,Penrith,Cumbria,CA11 0DT,United Kingdom
